in_swcid,in_voltage,in_time,out_swcid,out_voltage,out_time,type,instance
6141,0.06916630779239441,1.4280000000000004,13018,0.020079335594581846,5.227999999999998,LAL010,LAL010_R
6037,0.16899412077478937,1.1280000000000001,13018,0.019964450762015216,5.227999999999998,LAL010,LAL010_R
2054,0.8922781495606815,1.2280000000000002,13018,0.018893673646911427,5.527999999999997,LAL010,LAL010_R
8520,0.19866655293414742,1.2280000000000002,13018,0.02023182871628921,5.127999999999998,LAL010,LAL010_R
19555,0.23013058878433224,1.2280000000000002,13018,0.023532239088381392,4.328000000000001,LAL010,LAL010_R
4822,0.33218701896508973,1.1280000000000001,13018,0.01975056514231134,5.327999999999998,LAL010,LAL010_R
8524,0.2655574927849387,1.1280000000000001,13018,0.020201629772436745,5.127999999999998,LAL010,LAL010_R
26942,0.3179742158140462,1.1280000000000001,13018,0.02053354986857651,5.027999999999999,LAL010,LAL010_R
20460,0.09512499016457446,1.2280000000000002,13018,0.02399180917154531,4.2280000000000015,LAL066,LAL066_R
19096,0.44666784742160803,1.1280000000000001,13018,0.023039451650989758,4.428000000000001,LAL066,LAL066_R
20459,0.0869235307206793,1.2280000000000002,13018,0.02399645679828538,4.2280000000000015,LAL066,LAL066_R
19304,0.4567236324183499,1.1280000000000001,13018,0.02328350881781978,4.328000000000001,LAL066,LAL066_R
17753,0.19446670894849485,1.3280000000000003,13018,0.022966500525941173,4.5280000000000005,LAL200,LAL200(SCB015)_R
18458,0.25294376371116084,1.2280000000000002,13018,0.02303900652099216,4.428000000000001,VES059,VES059_R
19613,0.27747010016104146,1.1280000000000001,13018,0.023524159411377237,4.328000000000001,VES059,VES059_R
18467,0.2134183996635252,1.2280000000000002,13018,0.02306347196116816,4.428000000000001,VES059,VES059_R
18461,0.2753437964157001,1.2280000000000002,13018,0.023026268740449034,4.428000000000001,VES059,VES059_R
999,0.14617863571507297,1.1280000000000001,13018,0.020119632332707152,5.227999999999998,LAL035,LAL035_R
1919,0.31299005120138235,1.1280000000000001,13018,0.019208549081754626,5.527999999999997,LAL035,LAL035_R
1936,0.14317531204514328,1.3280000000000003,13018,0.01930312844477239,5.527999999999997,LAL035,LAL035_R
1674,0.27934215991253775,1.2280000000000002,13018,0.01912499172241183,5.527999999999997,LAL035,LAL035_R
3320,0.07590464190556123,1.5280000000000005,13018,0.019577202467389036,5.427999999999997,LAL035,LAL035_R
4388,0.3773805185258753,1.2280000000000002,13018,0.01946978261968314,5.427999999999997,LAL035,LAL035_R
1879,0.20376389750087723,1.2280000000000002,13018,0.019254359372689926,5.527999999999997,LAL035,LAL035_R
4386,0.3552376673720909,1.2280000000000002,13018,0.0194800731005765,5.427999999999997,LAL035,LAL035_R
5329,0.1908152871704447,1.4280000000000004,13018,0.01949108041154897,5.427999999999997,AVLP016,AVLP016_R
5328,0.17742874028061192,1.4280000000000004,13018,0.01949695029450872,5.427999999999997,AVLP016,AVLP016_R
5890,0.23472964248845052,1.2280000000000002,13018,0.01980749228012657,5.327999999999998,AVLP016,AVLP016_R
5900,0.267957092716752,1.2280000000000002,13018,0.01979081182240552,5.327999999999998,AVLP016,AVLP016_R
4670,0.1983191702414727,1.2280000000000002,13018,0.0196850157431405,5.327999999999998,PFL3,PFL3(PB12c)_L1_C3
4611,0.6089327189327417,1.1280000000000001,13018,0.019454962266376982,5.427999999999997,PFL3,PFL3(PB12c)_L1_C3
3480,0.26534266274850604,1.2280000000000002,13018,0.01939408153835144,5.427999999999997,PFL3,PFL3(PB12c)_L1_C3
4672,0.22737136566065114,1.2280000000000002,13018,0.01967278107219457,5.327999999999998,PFL3,PFL3(PB12c)_L1_C3
3534,0.8360047592209283,1.1280000000000001,13018,0.019153174582394367,5.427999999999997,PFL3,PFL3(PB12c)_L1_C3
4557,0.16057469065031665,1.2280000000000002,13018,0.019711207586688793,5.327999999999998,PFL3,PFL3(PB12c)_L1_C3
2049,0.993186998331021,1.2280000000000002,13018,0.01885073778682283,5.527999999999997,PFL3,PFL3(PB12c)_L1_C3
4636,0.7337773474813558,1.1280000000000001,13018,0.01940339237001629,5.427999999999997,PFL3,PFL3(PB12c)_L1_C3
2041,0.8846830989138387,1.2280000000000002,13018,0.018896675827581557,5.527999999999997,PFL3,PFL3(PB12c)_L1_C3
1503,0.2848388006100915,1.2280000000000002,13018,0.019102228144270605,5.627999999999997,PFL3,PFL3(PB12c)_L6_C8
1499,0.23504729394199478,1.2280000000000002,13018,0.01912919318369609,5.627999999999997,PFL3,PFL3(PB12c)_L6_C8
1419,0.5918725953678032,1.1280000000000001,13018,0.018932428777099806,5.627999999999997,PFL3,PFL3(PB12c)_L6_C8
69,0.6369071497253962,1.1280000000000001,13018,0.019283439141956238,5.427999999999997,PFL3,PFL3(PB12c)_L6_C8
3408,0.3466236331660164,1.2280000000000002,13018,0.019311137184675527,5.527999999999997,PFL3,PFL3(PB12c)_L6_C8
1399,0.6905196567774942,1.1280000000000001,13018,0.018889995198367957,5.627999999999997,PFL3,PFL3(PB12c)_L6_C8
3741,0.4585231741029283,1.2280000000000002,13018,0.019258348193384164,5.527999999999997,PFL3,PFL3(PB12c)_L6_C8
3743,0.49152074539532836,1.1280000000000001,13018,0.01924503567535521,5.527999999999997,PFL3,PFL3(PB12c)_L6_C8
4566,0.2526034920467418,1.2280000000000002,13018,0.019644710451450078,5.327999999999998,PFL3,PFL3(PB12c)_L6_C8
