in_swcid,in_voltage,in_time,out_swcid,out_voltage,out_time,type,instance
3741,0.4585231741029283,1.2280000000000002,13018,0.019258348193384164,5.527999999999997,PFL3,PFL3(PB12c)_L6_C8
3743,0.49152074539532836,1.1280000000000001,13018,0.01924503567535521,5.527999999999997,PFL3,PFL3(PB12c)_L6_C8
4566,0.2526034920467418,1.2280000000000002,13018,0.019644710451450078,5.327999999999998,PFL3,PFL3(PB12c)_L6_C8
3403,0.3108797939084494,1.2280000000000002,13018,0.019336273819682285,5.527999999999997,PFL3,PFL3(PB12c)_L6_C8
3791,0.36393921542425256,1.2280000000000002,13018,0.019300707556182503,5.527999999999997,PFL3,PFL3(PB12c)_L6_C8
4709,0.22769099163401127,1.2280000000000002,13018,0.019707586190869836,5.327999999999998,PFL3,PFL3(PB12c)_L6_C8
64,0.5528972095415705,1.2280000000000002,13018,0.0193196348559013,5.427999999999997,PFL3,PFL3(PB12c)_L6_C8
3793,0.376052684267502,1.2280000000000002,13018,0.019295459439906078,5.527999999999997,PFL3,PFL3(PB12c)_L6_C8
4680,0.16242207071331174,1.2280000000000002,13018,0.01972619990376402,5.327999999999998,PFL3,PFL3(PB12c)_L3_C5
3474,0.4852225394255728,1.1280000000000001,13018,0.01926985517007984,5.527999999999997,PFL3,PFL3(PB12c)_L3_C5
4488,0.5181261722371413,1.1280000000000001,13018,0.019435773534088603,5.427999999999997,PFL3,PFL3(PB12c)_L3_C5
3862,0.5083269006984171,1.1280000000000001,13018,0.0192565152844306,5.527999999999997,PFL3,PFL3(PB12c)_L3_C5
4619,0.42870489595046724,1.2280000000000002,13018,0.019541089785324345,5.427999999999997,PFL3,PFL3(PB12c)_L3_C5
4701,0.1362385010642521,1.3280000000000003,13018,0.019740876893369876,5.327999999999998,PFL3,PFL3(PB12c)_L3_C5
4554,0.12957593549518917,1.3280000000000003,13018,0.019735805113320994,5.327999999999998,PFL3,PFL3(PB12c)_L3_C5
4573,0.3042685340318886,1.2280000000000002,13018,0.01961166779904763,5.327999999999998,PFL3,PFL3(PB12c)_L3_C5
3465,0.2962337520492928,1.2280000000000002,13018,0.01934984972237273,5.527999999999997,PFL3,PFL3(PB12c)_L3_C5
4480,0.4201806662845367,1.2280000000000002,13018,0.019478730150365955,5.427999999999997,PFL3,PFL3(PB12c)_L3_C5
1591,0.561096912068752,1.1280000000000001,13018,0.018994997744690996,5.627999999999997,PFL3,PFL3(PB12c)_L3_C5
91,0.6864263520135738,1.1280000000000001,13018,0.019267574150210832,5.427999999999997,PFL3,PFL3(PB12c)_L3_C5
1562,0.2600358877977792,1.2280000000000002,13018,0.019119601828016777,5.627999999999997,PFL3,PFL3(PB12c)_L3_C5
